hired,service_year,nvq_level,length_of_service,employee_status,monthly_leaves,average_montly_hours,handle_appointments,customer_satisfaction_level,monthly_basic_salary,yearly_increment
2017,2018,3,1,1,1,193,17,2,31000,1
2020,2021,5,1,1,0,216,19,1,30000,1
2016,2021,3,5,2,2,233,43,3,38000,1
2015,2019,4,1,1,2,191,20,2,30000,1
2020,2021,3,1,1,4,169,12,1,36000,0
2018,2019,5,1,1,2,190,14,1,34000,0
2015,2016,5,1,1,3,176,25,1,33000,0
2019,2021,4,2,2,0,270,45,3,38000,1
2019,2021,3,2,2,2,237,33,1,44000,1
2015,2016,4,1,1,2,189,15,3,38000,0
2015,2017,5,2,2,5,206,25,3,39000,0
2016,2021,2,5,2,1,249,40,1,39000,1
2019,2021,4,2,2,4,214,30,2,38000,0
2016,2021,5,5,2,1,248,41,1,62000,1
2017,2018,2,1,1,4,176,25,3,35000,0
2017,2020,5,3,2,3,221,31,1,43000,1
2018,2019,5,1,1,5,160,18,1,39000,0
2015,2016,5,1,1,0,214,20,1,28000,1
2020,2021,4,1,1,4,169,16,1,39000,0
2018,2019,4,1,1,3,180,12,1,31000,0
2018,2019,3,1,1,5,166,21,1,35000,0
2017,2019,2,2,2,3,233,38,2,39000,1
2020,2021,3,1,1,2,185,24,2,28000,1
2018,2020,2,2,2,0,286,30,2,38000,0
2018,2021,2,3,2,1,249,45,1,39000,1
2015,2019,2,1,1,3,179,13,3,33000,0
2020,2021,4,1,1,2,187,17,2,34000,1
2018,2020,3,2,2,1,240,36,2,49000,1
2017,2020,2,3,2,1,243,37,3,39000,1
2017,2021,3,4,2,5,205,22,1,39000,0
2016,2020,2,4,2,0,286,41,2,39000,1
2019,2021,5,2,2,0,271,41,1,66000,1
2018,2019,4,1,1,5,160,22,1,39000,0
2019,2021,2,2,2,0,294,31,1,38000,1
2016,2021,3,5,2,2,245,37,1,55000,1
2017,2018,3,1,1,5,166,12,1,32000,0
2020,2021,2,1,1,4,175,17,1,34000,0
2020,2021,4,1,1,2,185,20,1,29000,1
2017,2018,3,1,1,4,175,17,2,39000,0
2018,2020,3,2,2,1,243,36,2,49000,1
2015,2018,4,3,2,5,201,26,2,40000,0
2019,2020,4,1,1,2,185,24,1,25000,1
2018,2020,5,2,2,4,221,42,2,38000,1
2019,2021,4,2,2,5,204,28,1,39000,0
2015,2019,2,1,1,2,189,25,2,39000,1
2019,2020,2,1,1,4,173,22,2,40000,0
2016,2021,3,5,2,4,218,33,2,38000,0
2018,2019,3,1,1,3,180,19,3,37000,0
2017,2021,4,4,2,0,254,39,1,52000,1
2019,2021,2,2,2,2,250,40,3,39000,1
2018,2020,5,2,2,5,203,26,1,39000,0
2017,2018,3,1,1,1,199,18,1,25000,1
2018,2019,2,1,1,4,168,17,2,39000,0
2015,2016,2,1,1,4,168,12,2,39000,0
2015,2016,4,1,1,2,185,11,3,33000,0
2015,2016,4,1,1,1,192,21,1,30000,1
2020,2021,4,1,1,3,183,15,1,33000,0
2015,2018,5,3,2,3,235,43,1,46000,1
2018,2020,2,2,2,3,224,38,3,39000,1
2015,2020,4,5,2,4,220,44,2,38000,0
2018,2020,2,2,2,1,242,34,2,39000,1
2015,2018,2,3,2,2,239,35,3,39000,1
2019,2020,4,1,1,0,207,13,1,38000,0
2017,2019,5,2,2,3,225,34,1,43000,1
2018,2019,5,1,1,2,187,23,1,30000,1
2016,2020,2,4,2,2,246,43,1,38000,1
2015,2020,3,5,2,2,235,36,1,52000,1
2017,2021,4,4,2,5,208,25,2,39000,0
2017,2021,5,4,2,0,267,45,1,63000,1
2019,2020,3,1,1,3,184,14,2,37000,0
2017,2019,2,2,2,5,204,23,3,39000,0
2020,2021,2,1,1,0,212,24,2,39000,1
2019,2021,2,2,2,4,229,44,1,39000,1
2018,2021,3,3,2,4,214,33,1,38000,0
2019,2021,5,2,2,5,207,23,2,39000,0
2017,2019,3,2,2,2,234,42,1,41000,1
2018,2021,4,3,2,3,221,36,3,40000,1
2015,2020,4,5,2,4,224,37,3,38000,1
2016,2021,5,5,2,2,246,39,1,42000,1
2020,2021,5,1,1,5,165,23,1,32000,0
2016,2020,2,4,2,5,204,25,1,40000,0
2018,2021,3,3,2,3,226,31,1,43000,1
2015,2016,5,1,1,3,183,23,1,32000,1
2016,2020,2,4,2,2,232,37,1,39000,1
2018,2019,5,1,1,3,178,22,1,27000,0
2016,2021,2,5,2,2,239,34,1,39000,1
2020,2021,4,1,1,0,206,25,3,34000,0
2017,2020,3,3,2,3,222,31,2,54000,1
2016,2020,3,4,2,3,234,40,1,55000,1
2019,2021,2,2,2,0,297,32,3,38000,1
2018,2019,4,1,1,0,209,11,2,40000,0
2019,2020,2,1,1,0,206,20,2,32000,1
2017,2020,5,3,2,3,222,35,1,45000,1
2018,2021,2,3,2,1,243,44,2,40000,1
2015,2017,4,2,2,5,201,22,3,40000,0
2018,2021,3,3,2,4,212,44,3,38000,0
2017,2020,5,3,2,3,221,38,3,39000,1
2016,2020,3,4,2,2,238,30,2,51000,0
2019,2021,2,2,2,2,240,45,2,40000,1
2016,2019,2,3,2,1,246,31,1,38000,1
2017,2020,3,3,2,4,216,31,1,40000,0
2019,2020,5,1,1,3,183,10,1,38000,0
2020,2021,4,1,1,3,178,15,1,33000,0
2017,2018,3,1,1,4,171,10,2,35000,0
2016,2019,2,3,2,1,250,35,3,39000,1
2015,2020,3,5,2,1,246,44,2,42000,1
2020,2021,3,1,1,1,193,16,1,31000,0
2017,2021,5,4,2,0,260,43,3,38000,1
2015,2021,3,6,2,2,237,38,3,38000,1
2016,2019,2,3,2,2,244,39,3,39000,1
2018,2020,5,2,2,3,236,36,1,45000,1
2017,2020,4,3,2,3,232,41,2,53000,1
2019,2021,2,2,2,4,227,32,3,38000,1
2018,2019,3,1,1,0,211,17,1,27000,1
2015,2019,3,1,1,1,193,13,2,36000,0
2020,2021,2,1,1,4,171,18,2,34000,0
2018,2020,3,2,2,4,223,37,1,40000,1
2020,2021,2,1,1,4,176,21,3,34000,0
2015,2019,3,1,1,4,168,20,2,37000,0
2016,2021,4,5,2,0,267,42,1,66000,1
2016,2019,2,3,2,4,215,41,1,39000,0
2018,2020,2,2,2,5,209,30,3,39000,0
2020,2021,4,1,1,4,175,10,2,32000,0
2016,2021,5,5,2,4,216,42,1,39000,0
2020,2021,4,1,1,1,200,25,1,34000,1
2019,2021,2,2,2,2,247,37,3,39000,1
2020,2021,3,1,1,0,200,23,2,33000,1
2020,2021,5,1,1,3,182,21,3,34000,0
2020,2021,2,1,1,1,193,10,3,39000,0
2020,2021,5,1,1,2,188,17,1,32000,1
2019,2021,2,2,2,5,208,24,3,40000,0
2017,2018,2,1,1,4,174,22,1,35000,0
2020,2021,4,1,1,5,163,11,2,38000,0
2017,2021,4,4,2,1,244,38,1,41000,1
2017,2020,4,3,2,5,203,25,2,38000,0
2018,2020,4,2,2,4,218,42,1,39000,0
2017,2020,3,3,2,4,230,32,1,39000,1
2017,2018,2,1,1,2,186,20,3,30000,0
2017,2021,4,4,2,3,220,38,1,51000,0
2018,2019,3,1,1,0,215,22,1,28000,1
2018,2021,3,3,2,3,240,37,2,48000,1
2018,2021,3,3,2,0,293,45,1,44000,1
2016,2019,2,3,2,4,224,35,3,39000,1
2019,2020,3,1,1,4,173,20,3,36000,0
2015,2020,4,5,2,3,221,34,1,43000,1
2017,2019,5,2,2,0,295,31,1,49000,1
2017,2019,3,2,2,1,246,31,1,44000,1
2019,2020,4,1,1,1,200,22,2,33000,1
2016,2020,4,4,2,3,224,37,2,49000,1
2016,2020,3,4,2,0,251,39,3,38000,1
2015,2016,5,1,1,3,180,25,2,31000,0
2018,2019,2,1,1,2,190,14,1,35000,0
2020,2021,5,1,1,1,195,18,1,28000,1
2019,2021,3,2,2,3,234,42,2,46000,1
2017,2021,3,4,2,4,213,43,1,39000,0
2016,2020,3,4,2,2,247,39,2,48000,1
2015,2017,4,2,2,2,247,41,1,63000,1
2017,2019,4,2,2,5,205,30,3,39000,0
2015,2020,5,5,2,3,233,32,1,45000,1
2016,2019,3,3,2,4,212,30,1,39000,0
2020,2021,4,1,1,2,190,17,3,31000,0
2017,2018,2,1,1,1,199,16,1,33000,0
2019,2020,4,1,1,0,206,14,1,36000,0
2020,2021,4,1,1,0,205,25,1,27000,1
2019,2021,5,2,2,2,233,39,1,43000,1
2017,2018,5,1,1,1,193,24,1,33000,1
2020,2021,3,1,1,0,202,23,3,38000,0
2017,2021,4,4,2,3,237,37,2,41000,1
2019,2020,5,1,1,4,169,24,1,37000,0
2015,2019,5,1,1,2,192,15,1,36000,0
2015,2018,2,3,2,4,224,35,2,38000,1
2016,2017,4,1,1,3,177,25,2,33000,0
2020,2021,4,1,1,2,191,19,2,29000,1
2017,2019,4,2,2,4,216,42,1,39000,0
2017,2019,5,2,2,1,245,44,1,63000,1
2017,2021,5,4,2,5,200,29,3,39000,0
2016,2020,4,4,2,0,294,34,1,43000,1
2017,2020,3,3,2,1,243,31,3,40000,1
2017,2021,3,4,2,4,211,36,1,40000,0
2017,2019,2,2,2,1,247,44,2,39000,1
2020,2021,2,1,1,2,186,18,1,37000,1
2016,2017,2,1,1,2,187,16,1,38000,0
2018,2019,4,1,1,1,192,18,3,32000,0
2017,2019,2,2,2,5,206,28,3,39000,0
2019,2021,3,2,2,5,201,26,2,38000,0
2018,2021,5,3,2,2,233,44,3,40000,1
2017,2021,5,4,2,3,229,43,1,54000,1
2017,2020,2,3,2,1,240,38,1,39000,1
2016,2019,3,3,2,1,248,36,1,52000,1
2016,2019,4,3,2,5,202,22,1,40000,0
2020,2021,3,1,1,0,201,10,1,38000,0
2018,2020,4,2,2,3,230,33,1,50000,1
2017,2021,5,4,2,0,290,44,3,38000,1
2019,2020,4,1,1,3,177,10,2,36000,0
2016,2020,4,4,2,5,210,26,1,38000,0
2017,2021,2,4,2,4,230,35,3,39000,1
2015,2016,5,1,1,4,169,16,1,31000,0
2016,2019,5,3,2,0,263,41,3,39000,1
2017,2019,4,2,2,5,206,25,1,40000,0
2020,2021,4,1,1,3,183,14,2,32000,0
2019,2020,2,1,1,5,161,25,2,36000,0
2017,2020,2,3,2,3,228,44,2,38000,1
2016,2017,5,1,1,3,179,14,1,39000,0
2019,2020,5,1,1,3,176,24,1,25000,0
2019,2021,5,2,2,3,240,40,1,51000,1
2020,2021,2,1,1,0,204,20,2,38000,1
2018,2021,4,3,2,3,232,43,3,39000,1
2019,2021,2,2,2,3,235,35,3,38000,1
2017,2021,5,4,2,0,264,34,1,44000,1
2016,2017,5,1,1,5,166,16,3,31000,0
2020,2021,2,1,1,3,183,17,3,33000,0
2017,2021,5,4,2,2,246,34,1,48000,1
2016,2021,2,5,2,0,284,39,1,39000,1
2016,2019,4,3,2,0,254,38,2,45000,1
2017,2021,4,4,2,4,227,36,2,39000,1
2015,2017,5,2,2,1,244,38,2,46000,1
2019,2021,5,2,2,3,233,35,2,44000,1
2017,2021,3,4,2,5,208,28,1,39000,0
2016,2017,3,1,1,0,214,20,2,28000,1
2018,2021,3,3,2,1,247,30,1,49000,0
2016,2017,2,1,1,0,201,20,3,38000,0
2015,2016,3,1,1,0,205,20,2,30000,1
2016,2019,2,3,2,1,241,40,2,38000,1
2019,2020,5,1,1,5,168,14,1,31000,0
2018,2020,5,2,2,4,223,36,1,39000,1
2017,2019,5,2,2,3,228,42,2,48000,1
2015,2016,4,1,1,4,174,25,2,34000,0
2015,2021,4,6,2,0,250,31,2,41000,1
2019,2020,3,1,1,4,169,19,2,32000,0
2019,2021,3,2,2,3,227,41,1,41000,1
2020,2021,2,1,1,2,189,10,1,34000,0
2016,2018,4,2,2,1,250,33,1,53000,1
2018,2020,2,2,2,2,238,37,3,38000,1
2019,2020,2,1,1,5,166,10,3,40000,0
2016,2021,3,5,2,3,239,38,1,51000,1
2015,2018,3,3,2,4,213,37,3,38000,0
2018,2020,3,2,2,5,209,30,2,38000,0
2018,2019,2,1,1,4,172,20,3,33000,0
2020,2021,2,1,1,0,215,15,2,32000,0
2019,2021,5,2,2,5,209,27,1,39000,0
2018,2021,4,3,2,1,248,41,2,60000,1
2017,2018,5,1,1,0,200,15,3,33000,0
2018,2019,2,1,1,4,174,19,2,37000,0
2017,2021,5,4,2,2,239,43,1,64000,1
2015,2019,5,1,1,4,176,25,2,38000,0
2017,2020,5,3,2,0,296,45,3,40000,1
2015,2019,3,1,1,0,207,13,2,32000,0
2018,2019,3,1,1,0,208,13,3,32000,0
2016,2019,4,3,2,2,230,39,2,42000,1
2016,2018,3,2,2,1,247,39,2,40000,1
2016,2020,2,4,2,3,238,41,1,38000,1
2017,2020,3,3,2,1,241,44,3,39000,1
2016,2019,2,3,2,4,214,33,3,40000,0
2016,2021,5,5,2,2,233,42,2,67000,1
2020,2021,2,1,1,3,184,13,1,37000,0
2019,2020,2,1,1,2,189,12,1,40000,0
2015,2020,5,5,2,0,257,34,1,54000,1
2017,2021,2,4,2,4,211,36,3,39000,0
2017,2021,2,4,2,3,221,41,3,38000,1
2018,2020,2,2,2,5,204,29,1,40000,0
2019,2020,4,1,1,3,177,21,3,34000,0
2016,2020,3,4,2,2,239,33,3,38000,1
2017,2020,4,3,2,1,248,32,3,39000,1
2019,2020,5,1,1,0,204,25,1,30000,1
2019,2020,5,1,1,5,166,20,3,34000,0
2017,2018,4,1,1,0,208,24,2,33000,1
2016,2020,4,4,2,2,231,42,2,67000,1
2020,2021,3,1,1,2,187,23,3,36000,0
2019,2020,2,1,1,4,168,11,1,38000,0
2019,2021,3,2,2,0,258,32,2,54000,1
2019,2021,3,2,2,3,224,39,2,47000,1
2016,2018,5,2,2,3,224,31,1,51000,1
2020,2021,2,1,1,3,180,12,3,39000,0
2016,2019,4,3,2,1,248,33,1,46000,1
2016,2021,4,5,2,2,238,44,2,68000,1
2020,2021,5,1,1,3,181,19,1,25000,1
2020,2021,2,1,1,0,214,12,1,33000,0
2016,2017,4,1,1,0,215,11,1,34000,0
2020,2021,2,1,1,5,161,23,2,39000,0
2016,2018,5,2,2,4,224,42,1,38000,1
2017,2018,3,1,1,1,192,25,1,30000,1
2015,2019,3,1,1,0,204,25,1,28000,1
2015,2020,4,5,2,2,231,36,3,38000,1
2017,2020,5,3,2,1,245,30,1,41000,0
2015,2020,5,5,2,5,202,24,3,38000,0
2018,2019,5,1,1,1,192,17,1,31000,1
2017,2018,5,1,1,0,201,20,2,34000,1
2020,2021,2,1,1,3,176,17,1,38000,0
2018,2021,2,3,2,4,225,44,2,39000,1
2016,2019,4,3,2,3,227,38,2,51000,1
2016,2019,4,3,2,2,249,44,2,61000,1
2018,2020,3,2,2,5,210,26,2,38000,0
2017,2020,3,3,2,0,261,30,3,39000,0
2018,2019,2,1,1,4,168,12,3,34000,0
2018,2019,5,1,1,1,197,13,1,37000,0
2020,2021,3,1,1,2,191,23,2,32000,1
2018,2021,3,3,2,1,249,37,3,38000,1
2015,2017,2,2,2,5,204,22,2,38000,0
2019,2020,4,1,1,3,182,18,2,30000,1
2017,2019,3,2,2,3,230,30,3,39000,0
2016,2017,3,1,1,3,182,25,2,26000,1
2015,2021,3,6,2,5,210,29,3,39000,0
2017,2020,4,3,2,5,202,26,2,39000,0
2019,2021,3,2,2,1,240,41,2,45000,1
2015,2019,5,1,1,5,162,19,1,39000,0
2020,2021,5,1,1,0,219,22,1,32000,1
2015,2019,3,1,1,4,169,21,3,36000,0
2020,2021,5,1,1,2,185,14,1,38000,0
2017,2021,3,4,2,0,257,37,3,38000,1
2015,2016,5,1,1,2,192,14,1,31000,0
2017,2018,2,1,1,0,216,10,3,33000,0
2017,2021,3,4,2,1,248,33,2,53000,1
2019,2020,4,1,1,1,200,15,3,39000,0
2019,2020,3,1,1,3,178,20,1,25000,0
2017,2018,4,1,1,1,198,11,1,37000,0
2015,2020,3,5,2,1,247,31,2,54000,1
2018,2019,4,1,1,0,212,16,2,26000,0
2015,2019,5,1,1,2,190,17,3,39000,0
2019,2020,5,1,1,5,167,11,1,36000,0
2017,2021,2,4,2,2,241,41,2,40000,1
2017,2021,3,4,2,4,212,30,2,38000,0
2015,2016,2,1,1,1,196,12,1,37000,0
2018,2020,4,2,2,3,237,41,2,47000,1
2015,2019,2,1,1,4,169,12,3,39000,0
2019,2020,3,1,1,5,165,25,2,32000,0
2020,2021,4,1,1,4,170,19,1,32000,0
2020,2021,3,1,1,3,180,16,1,28000,0
2018,2019,3,1,1,1,196,12,1,36000,0
2015,2020,4,5,2,3,238,32,1,55000,1
2018,2020,5,2,2,2,232,43,1,67000,1
2020,2021,2,1,1,3,183,12,3,39000,0
2016,2018,4,2,2,2,249,31,2,46000,1
2017,2018,3,1,1,0,212,21,1,30000,1
2020,2021,2,1,1,1,199,12,1,40000,0
2019,2020,2,1,1,1,194,15,2,33000,0
2017,2019,5,2,2,3,231,40,2,55000,1
2020,2021,2,1,1,1,195,16,2,31000,0
2018,2019,5,1,1,0,212,22,1,26000,1
2016,2020,5,4,2,0,263,44,1,64000,1
2016,2020,2,4,2,1,250,43,1,39000,1
2015,2018,2,3,2,5,209,30,2,40000,0
2019,2021,2,2,2,5,209,25,1,39000,0
2016,2020,5,4,2,3,233,43,1,51000,1
2017,2019,4,2,2,4,230,41,1,38000,1
2017,2019,2,2,2,5,207,28,1,40000,0
2017,2020,3,3,2,4,219,39,3,39000,0
2018,2021,2,3,2,1,241,41,1,39000,1
2016,2020,4,4,2,5,206,29,1,38000,0
2018,2019,4,1,1,0,209,24,1,26000,1
2018,2019,5,1,1,2,186,18,1,29000,1
2020,2021,2,1,1,5,163,22,1,33000,0
2017,2020,3,3,2,3,234,45,1,46000,1
2015,2021,4,6,2,5,208,25,2,38000,0
2016,2018,5,2,2,4,212,39,3,40000,0
2019,2021,4,2,2,2,231,39,1,44000,1
2016,2018,2,2,2,5,208,28,3,40000,0
2017,2019,3,2,2,0,271,34,1,45000,1
2015,2021,5,6,2,5,205,28,1,39000,0
2015,2021,4,6,2,5,210,26,2,38000,0
2015,2017,5,2,2,1,245,39,1,44000,1
2018,2020,2,2,2,3,224,44,1,39000,1
2020,2021,5,1,1,4,168,25,1,37000,0
2020,2021,5,1,1,1,197,15,1,39000,0
2016,2020,5,4,2,0,288,45,1,60000,1
2016,2018,2,2,2,4,212,45,1,39000,0
2019,2020,2,1,1,3,178,23,1,34000,0
2020,2021,4,1,1,0,204,10,2,31000,0
2020,2021,2,1,1,1,200,14,3,30000,0
2015,2016,5,1,1,3,179,15,2,38000,0
2020,2021,5,1,1,3,180,21,1,27000,0
2017,2021,4,4,2,0,273,36,3,39000,1
2017,2019,2,2,2,3,232,40,2,39000,1
2019,2021,3,2,2,1,242,39,1,49000,1
2016,2020,5,4,2,2,237,38,1,55000,1
2017,2018,4,1,1,5,168,21,3,34000,0
2017,2019,5,2,2,1,250,45,2,69000,1
2020,2021,4,1,1,4,168,25,1,37000,0
2015,2017,2,2,2,3,227,44,1,40000,1
2016,2019,5,3,2,3,237,31,1,44000,1
2016,2020,3,4,2,5,207,27,3,38000,0
2016,2020,5,4,2,3,222,31,1,42000,1
2020,2021,3,1,1,0,219,17,2,27000,1
2016,2019,2,3,2,5,204,25,1,39000,0
2018,2020,3,2,2,2,233,33,1,51000,1
2018,2020,5,2,2,0,274,39,1,53000,1
2018,2020,2,2,2,3,234,42,2,38000,1
2019,2020,3,1,1,2,186,10,2,32000,0
2015,2020,5,5,2,3,223,33,1,49000,1
2020,2021,2,1,1,4,174,17,3,35000,0
2020,2021,4,1,1,5,167,25,3,40000,0
2019,2020,4,1,1,2,188,19,2,29000,1
2019,2021,4,2,2,1,244,44,2,61000,1
2018,2019,3,1,1,4,169,25,2,34000,0
2018,2019,2,1,1,5,164,17,2,33000,0
2018,2021,5,3,2,2,238,31,3,38000,1
2015,2021,4,6,2,2,245,31,2,53000,1
2016,2019,3,3,2,5,203,26,1,40000,0
2016,2017,5,1,1,1,195,11,1,38000,0
2016,2019,3,3,2,0,277,33,1,45000,1
2017,2018,5,1,1,5,163,21,1,32000,0
2020,2021,3,1,1,0,214,22,1,34000,1
2017,2018,4,1,1,1,200,13,3,31000,0
2016,2018,4,2,2,4,225,44,1,39000,1
2018,2020,2,2,2,5,201,25,3,39000,0
2018,2020,4,2,2,5,210,25,1,40000,0
2017,2020,4,3,2,5,200,30,1,39000,0
2017,2019,3,2,2,1,241,40,2,44000,1
2017,2019,4,2,2,3,221,37,3,39000,1
2017,2019,2,2,2,1,245,36,2,40000,1
2015,2019,5,1,1,3,182,18,1,26000,1
2017,2021,3,4,2,1,242,43,3,39000,1
2020,2021,4,1,1,3,176,13,2,34000,0
2016,2017,5,1,1,4,169,17,1,36000,0
2018,2020,2,2,2,0,269,42,1,38000,1
2015,2020,5,5,2,0,257,31,2,51000,1
2018,2021,4,3,2,5,204,25,2,39000,0
2016,2021,4,5,2,2,235,37,1,49000,1
2018,2019,3,1,1,0,212,12,2,31000,0
2019,2021,3,2,2,4,216,31,2,40000,0
2015,2016,4,1,1,4,173,24,3,36000,0
2018,2019,5,1,1,2,189,19,1,26000,1
2015,2017,4,2,2,1,247,31,3,39000,1
2019,2021,4,2,2,3,239,42,1,43000,1
2018,2019,5,1,1,4,175,21,1,32000,0
2015,2017,3,2,2,1,241,40,3,39000,1
2015,2021,5,6,2,3,231,34,2,44000,1
2016,2021,3,5,2,2,238,30,2,50000,0
2015,2017,3,2,2,1,250,41,2,54000,1
2017,2021,3,4,2,0,285,39,2,43000,1
2016,2017,4,1,1,0,216,16,1,28000,0
2018,2019,3,1,1,5,164,21,1,38000,0
2016,2020,5,4,2,0,295,32,2,45000,1
2019,2021,5,2,2,4,211,40,3,40000,0
2017,2019,4,2,2,1,245,45,2,64000,1
2017,2019,5,2,2,0,261,37,3,39000,1
2020,2021,3,1,1,2,191,15,2,38000,0
2018,2019,4,1,1,3,183,16,2,28000,0
2019,2020,5,1,1,5,162,24,1,34000,0
2016,2020,2,4,2,0,276,34,2,39000,1
2017,2020,2,3,2,2,232,32,3,38000,1
2015,2016,2,1,1,2,186,10,2,39000,0
2016,2018,4,2,2,3,237,32,2,51000,1
2018,2021,4,3,2,4,216,40,1,39000,0
2018,2020,5,2,2,2,233,41,1,60000,1
2018,2019,2,1,1,0,207,14,3,38000,0
2018,2019,4,1,1,2,189,21,1,30000,1
2019,2020,3,1,1,2,184,23,1,32000,1
2019,2020,2,1,1,4,168,10,3,37000,0
2019,2020,5,1,1,0,207,24,1,33000,1
2020,2021,2,1,1,1,199,10,1,31000,0
2015,2016,2,1,1,3,178,15,1,38000,0
2018,2021,2,3,2,5,203,23,1,38000,0
2019,2021,5,2,2,0,299,43,2,63000,1
2015,2016,2,1,1,5,166,21,3,37000,0
2019,2021,3,2,2,0,274,39,3,39000,1
2018,2020,4,2,2,3,228,35,2,50000,1
2020,2021,2,1,1,0,203,12,2,39000,0
2020,2021,4,1,1,5,162,21,1,34000,0
2018,2021,5,3,2,0,264,41,2,64000,1
2016,2019,2,3,2,4,230,42,3,39000,1
2015,2017,5,2,2,4,213,33,1,39000,0
2016,2021,5,5,2,1,249,35,1,50000,1
2019,2021,4,2,2,3,233,35,1,41000,1
2018,2021,3,3,2,4,219,31,2,38000,0
2019,2021,4,2,2,4,211,42,2,40000,0
2016,2021,4,5,2,3,233,43,1,50000,1
2016,2018,2,2,2,5,207,27,1,39000,0
2017,2021,5,4,2,3,231,39,1,51000,1
2017,2019,4,2,2,1,249,41,2,66000,1
2020,2021,5,1,1,5,164,19,1,32000,0
2016,2020,2,4,2,0,252,40,2,38000,1
2020,2021,4,1,1,5,164,15,3,35000,0
2015,2017,5,2,2,0,270,44,1,61000,1
2020,2021,3,1,1,4,170,19,2,35000,0
2017,2018,4,1,1,5,162,10,1,37000,0
2018,2021,2,3,2,3,236,31,3,39000,1
2020,2021,2,1,1,4,175,11,1,36000,0
2017,2020,5,3,2,2,234,36,1,55000,1
2018,2019,3,1,1,1,192,14,1,35000,0
2019,2020,4,1,1,5,164,11,2,34000,0
2018,2020,2,2,2,2,231,36,2,39000,1
2018,2021,5,3,2,5,201,27,3,40000,0
2018,2019,4,1,1,3,177,17,1,26000,0
2017,2019,4,2,2,0,279,42,2,61000,1
2017,2021,3,4,2,3,226,38,3,39000,1
2016,2017,2,1,1,5,166,11,3,37000,0
2015,2019,3,1,1,3,184,25,2,28000,1
2016,2017,4,1,1,5,161,15,1,37000,0
2018,2019,4,1,1,5,165,25,3,33000,0
2020,2021,2,1,1,3,184,19,2,39000,1
2015,2017,2,2,2,1,242,30,3,39000,0
2020,2021,3,1,1,4,172,20,2,34000,0
2019,2021,3,2,2,1,246,44,2,50000,1
2020,2021,3,1,1,4,169,14,1,32000,0
2016,2018,4,2,2,1,248,30,2,52000,0
2017,2018,5,1,1,5,165,19,1,34000,0
2016,2020,2,4,2,2,240,42,2,39000,1
2016,2021,5,5,2,3,236,44,2,53000,1
2019,2020,5,1,1,2,184,12,1,36000,0
2017,2019,5,2,2,0,252,41,1,60000,1
2017,2020,3,3,2,3,240,35,2,41000,1
2015,2019,5,1,1,4,175,23,1,33000,0
2017,2019,4,2,2,0,295,33,1,44000,1
2019,2020,4,1,1,3,184,12,2,34000,0
2018,2019,5,1,1,2,185,21,1,28000,1
2020,2021,5,1,1,1,195,12,3,39000,0
2017,2020,3,3,2,5,202,25,2,39000,0
2017,2018,4,1,1,4,174,14,1,32000,0
2016,2019,2,3,2,1,247,44,3,40000,1
2020,2021,2,1,1,4,171,23,1,39000,0
2015,2018,5,3,2,2,239,33,2,45000,1
2015,2016,4,1,1,4,169,11,1,39000,0
2018,2019,4,1,1,3,176,12,2,40000,0
2017,2020,4,3,2,0,255,43,2,66000,1
2016,2019,3,3,2,0,253,34,3,39000,1
2017,2019,3,2,2,3,238,38,2,41000,1
2017,2018,3,1,1,3,176,10,1,35000,0
2018,2019,5,1,1,2,189,12,1,38000,0
2018,2020,4,2,2,5,207,23,2,38000,0
2018,2021,3,3,2,4,212,44,1,39000,0
2020,2021,2,1,1,4,168,17,2,35000,0
2016,2018,3,2,2,1,250,44,1,50000,1
2018,2020,2,2,2,5,205,26,1,39000,0
2020,2021,2,1,1,3,176,24,3,37000,0
2016,2017,5,1,1,3,176,19,1,29000,0
2015,2017,5,2,2,3,232,31,1,45000,1
2020,2021,5,1,1,0,218,19,2,31000,1
2019,2020,2,1,1,5,161,19,2,34000,0
2020,2021,4,1,1,4,172,22,3,31000,0
2017,2020,2,3,2,0,296,37,1,40000,1
2019,2021,5,2,2,0,252,41,1,65000,1
2019,2020,4,1,1,5,166,23,2,33000,0
2019,2021,3,2,2,0,252,42,1,53000,1
2015,2018,2,3,2,0,260,39,1,39000,1
2016,2020,3,4,2,2,233,42,2,51000,1
2017,2019,3,2,2,0,280,43,2,53000,1
2016,2021,3,5,2,1,249,30,2,51000,0
2018,2019,5,1,1,4,174,22,1,32000,0
2018,2020,5,2,2,0,269,32,3,38000,1
2018,2021,2,3,2,0,290,36,2,40000,1
2018,2019,5,1,1,0,205,11,1,35000,0
2018,2019,3,1,1,4,174,11,1,38000,0
2015,2021,5,6,2,3,239,38,1,48000,1
2018,2021,4,3,2,0,286,39,1,54000,1
2018,2019,3,1,1,1,200,13,2,38000,0
2015,2017,2,2,2,1,250,31,3,38000,1
2020,2021,4,1,1,0,200,20,2,29000,1
2017,2018,3,1,1,3,176,17,3,38000,0
2020,2021,3,1,1,3,177,22,3,40000,0
2016,2017,3,1,1,0,216,17,2,28000,1
2017,2020,4,3,2,1,246,43,1,60000,1
2015,2018,2,3,2,5,206,26,3,38000,0
2015,2017,2,2,2,2,244,34,3,39000,1
2020,2021,4,1,1,4,172,22,2,35000,0
2018,2020,3,2,2,4,219,34,1,39000,0
2017,2020,2,3,2,2,231,33,2,39000,1
2015,2017,5,2,2,3,223,41,1,50000,1
